# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          <idle>-0     (-----) [003] d..1   875.727384: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.727388: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.727389: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.727399: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.727400: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.727412: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.727412: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.728563: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.728568: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.728594: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.728600: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.728647: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.728657: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.728712: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.728716: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.728774: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.728778: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.728957: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.728966: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.728984: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.728994: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.737225: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.737225: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.737227: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.737231: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.737234: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.737239: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.737239: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.737243: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.737244: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.737255: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.737263: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.737350: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.744965: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.744971: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.744997: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.745003: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.745050: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.745060: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.745114: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.745117: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.745175: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.745179: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.745359: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.745369: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.745386: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.745396: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.747065: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.747065: graph_ent: func=gic_handle_irq
           <...>-22147 (-----) [003] d..1   875.747067: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.747071: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.747075: graph_ent: func=generic_handle_irq
           <...>-22147 (-----) [003] d.h1   875.747075: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.747079: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.747084: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.747085: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.747089: graph_ret: func=gic_handle_irq
